business_id,postal_code,stars,review_count,is_open,categories,checkin_count,stars_std_dev,percentage_1_star,percentage_2_star,percentage_3_star,percentage_4_star,percentage_5_star,avg_timestamp_gap,text_similarity_score,%_under_3_months,%_3_months_to_1_year,%_over_1_year,%_reviewers_with_less_than_10_reviews,avg_star_deviation_squared
LLOUe3ahPMMSNrgX0x24Ow,46250,4.5,11,1,"Musical Instruments & Teachers, Recording & Rehearsal Studios, Specialty Schools, Education, Arts & Entertainment, Local Services, Shopping, Performing Arts",26,0.4522670168666453,0.0,0.0,0.0,25.0,75.0,29241389.636363637,0.083832854,25.0,0.0,75.0,41.66666666666667,0.8425727272727273
jgmOySDa3Rn23l7uiS2JHw,63109,4.5,26,0,"Barbeque, Food, American (Traditional), Restaurants",29,0.5334935656738372,0.0,0.0,3.8461538461538463,19.230769230769234,76.92307692307693,2222933.68,0.089489827,26.923076923076923,7.6923076923076925,65.38461538461539,42.30769230769231,1.6518884615384617
f8xbJqPZepSdmQjaHz25YA,19103,4.5,46,1,"Food, Bakeries",140,0.971375709,2.127659574468085,4.255319149,10.638297872340424,29.78723404255319,53.191489361702125,7109460.021739131,0.051981445,10.638297872340424,19.148936170212767,70.21276596,14.893617021276595,0.9710239130434783
7NYmSJ-w7DktmbPMCymJfg,19082,3.5,13,1,"Restaurants, Chinese",1,1.3913653136029502,15.384615384615383,7.6923076923076925,15.384615384615383,38.46153846153847,23.076923076923077,29677741.25,0.063137887,30.76923076923077,23.076923076923077,46.15384615384615,46.15384615384615,1.0532307692307692
ZPdKYDbYKSjDkaBGYkGzOQ,08108,4.0,183,0,"Juice Bars & Smoothies, Vegan, Food, Restaurants, Vegetarian, Gluten-Free",160,1.196497720334096,5.263157894736842,8.421052631578947,7.894736842105263,22.63157894736842,55.78947368421052,954456.4603174604,0.04697843,8.947368421052632,8.947368421052632,82.10526315789474,28.947368421052634,1.1754147540983606
9DASg3kO72NKbA70yYU_Dw,18936,4.0,9,1,"Building Supplies, Home & Garden, Kitchen & Bath, Flooring, Home Services, Tiling, Shopping",2,1.7638342073763935,22.22222222222222,0.0,0.0,0.0,77.77777777777779,18918464.63,0.082764358,33.33333333333333,11.11111111111111,55.55555555555556,44.44444444444444,1.640977777777778
LojIiUOGn5EEdluoytxubw,70130,5.0,20,1,"Vegan, Acai Bowls, Coffee & Tea, Juice Bars & Smoothies, Food, Restaurants",28,0.6386663736585051,0.0,0.0,10.0,5.0,85.0,1796372.9473684211,0.061615361,0.0,5.0,95.0,30.0,0.4998099999999999
lmKOpBtZbPXrbkwExcGNVg,33544,3.5,8,1,"Home Services, Masonry/Concrete, Contractors",0,1.4078859531733587,12.5,12.5,0.0,50.0,25.0,22374210.714285713,0.062447932,0.0,12.5,87.5,37.5,0.916825
v22B3dNnnRFYo3qK7MLDxw,T6R 2W7,3.5,7,1,"Pets, Pet Groomers, Pet Services",3,1.988059595,28.57142857142857,14.285714285714285,0.0,0.0,57.14285714285714,13851198.333333334,0.072171483,42.857142857142854,0.0,57.14285714285714,42.857142857142854,2.6238285714285716
ypetvi7gxJHP-32ELu14uw,70123,4.0,155,1,"Sushi Bars, Asian Fusion, Restaurants, Japanese",828,1.345368175612278,9.316770186335404,6.832298136645963,9.316770186335404,14.285714285714285,60.24844720496895,1968248.625,0.048243927,18.633540372670808,18.633540372670808,62.732919254658384,34.78260869565217,1.290903870967742
